Player,Team,Position,MatchDate,MatchTime,Match,HomeAway,Result,HomeScore,AwayScore,Goals,Yellow cards,Red cards,Individual possession,Successful forward passes,Crosses in game,Crosses on restart of play,Shots,Shots on target,50/50 Ground challenges,50/50 air challenges,Tackles made,Tackles received,Dribble made,Dribble conceeded,Balls won,Balls lost,Passes towards final thirds,Fouls made,Fouls conceeded,Offsides,Passes,Successful passes,Forward passes,50/50 Ground challenges won,50/50 air challenges won,Tackles made won,Tackles received won,Successful dribble,Dribble conceeded won,Successful passes towards final thirds,Corners,Chances,Short passes (0-17m),Successful short passes (0-17m),Medium passes (17-34m),Successful medium passes (17-34m),Long passes (34+ m),Successful long passes (34+ m),Backward passes,Successful backward passes,Sideward passes,Successful sideward passes,Shots inside box,Shots outside box,Own goals,Goals on penalty,Penalties,Shots conceded,50/50 challenges,50/50 challenges won,Crosses,Throw-in,Successful crosses,Successful crosses in game,Successful crosses on restart of play,Assists,Goals on set play,Free kicks,Shots from head,Shots from right foot,Shots from left foot,Shots from foot,Shots not on restart of play,Shots on restart of play,Balls played in one touch,Goals on open play,Goals on open play on possession based attacks,Goals on open play on quick attacks,Goals on open play not on attack,Goals from inside box,Goals from outside box,Goals with head,Goals with foot,Goals with other part of body,Goals with right foot,Goals with left foot,Penalty kicks,Match played,Starter,Entire match played,Time played in real (min),Clearances,Fouls made in first third part,Fouls received in first third part,Fouls made in second third part,Fouls received in second third part,Assist to goal,2nd assist to goal,Blocks,Assist to shot,2nd assist to shot
Shelvey Jonjo,Swansea City,Holding central midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,1,0,54,12,1,0,0,0,3,2,0,0,0,0,11,14,8,3,0,0,48,39,15,3,1,0,0,0,0,5,0,0,25,23,16,14,7,2,4,4,29,23,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,5,2,0,1,0,0,0,0,0,0
Ki Sung-Yong,Swansea City,Holding central midfielder right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,1,1,0,43,2,0,0,1,1,6,0,2,0,0,1,10,7,3,1,2,0,36,34,3,5,0,2,0,0,0,2,0,1,21,21,13,11,2,2,8,8,25,24,0,1,0,0,0,0,6,5,0,0,0,0,0,0,0,2,0,0,1,1,1,0,22,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,98.69833,10,0,1,0,1,0,0,0,0,0
Rangel Angel,Swansea City,Wide defender right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,54,10,1,0,0,0,1,1,0,0,0,1,5,10,5,0,1,0,50,41,18,0,0,0,0,0,0,2,0,0,32,28,15,12,3,1,10,9,22,22,0,0,0,0,0,0,2,0,1,7,0,0,0,0,0,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,5,0,1,0,0,0,0,0,1,0
Williams Ashley,Swansea City,Central defender left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,67,8,0,0,0,0,4,4,2,0,2,1,13,12,2,1,0,0,56,50,14,3,1,1,0,1,0,0,0,0,21,20,29,27,6,3,2,2,40,40,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,20,1,0,0,0,0,0,0,0,0
Taylor Neil,Swansea City,Wide defender left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,1,0,40,4,0,0,0,0,1,1,0,0,0,1,6,9,1,2,1,0,37,29,10,1,0,0,0,0,0,1,0,0,24,20,12,9,1,0,13,13,14,12,0,0,0,0,0,0,2,1,0,9,0,0,0,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,55.93767,3,2,0,0,0,0,0,0,0,0
Bony Wilfried,Swansea City,Centre forward,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,29,3,0,0,1,1,6,3,3,5,0,0,0,12,1,3,1,0,23,15,6,4,0,3,1,0,0,1,0,0,16,9,6,5,1,1,5,3,12,9,0,1,0,0,0,0,9,4,0,0,0,0,0,0,0,1,0,1,0,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,79.64975,5,0,0,2,1,0,0,0,0,0
Montero Jefferson,Swansea City,Wide midfielder left,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,13,1,1,0,0,0,1,1,0,1,1,0,2,3,0,1,0,0,9,8,1,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,5,5,3,2,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.72717,1,0,0,0,0,0,1,0,0,1
Jordi Amat,Swansea City,Central defender right,2014/08/16,12:45:37.000000,Manchester United v Swansea City,A,W,1,2,0,0,0,50,13,0,0,0,0,2,3,0,1,0,0,11,11,4,1,0,0,42,38,17,1,0,0,0,0,0,2,0,0,14,14,23,22,5,2,1,1,24,24,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,98.69833,12,1,0,0,0,0,0,0,0,0
Bardsley Phil,Stoke City,Wide defender right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,50,5,2,0,2,1,4,3,0,5,0,0,6,13,4,0,0,0,40,33,11,3,3,0,1,0,0,0,0,0,26,23,12,10,2,0,13,13,16,15,0,2,0,0,0,0,7,6,2,16,0,0,0,0,0,1,0,1,1,2,2,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,97.932,4,0,0,0,0,0,0,0,0,0
Crouch Peter,Stoke City,Centre forward right,2014/08/16,15:00:07.000000,Stoke City v Aston Villa,H,L,0,1,0,0,0,11,2,0,0,0,0,0,3,1,0,0,0,0,3,0,1,0,0,12,8,3,0,2,1,0,0,0,0,0,0,10,7,2,1,0,0,1,1,8,5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24.89067,0,0,0,0,0,0,0,0,0,2
